,function,run,steps,order,order error,rate,rate error
0,waves_1,0,63,0.760411353947738,0.016638589364369242,0.9959384376343646,1.005626598294485
1,waves_1,1,6,0.6356185400604291,0.2125747901041787,0.9972599852647291,1.006196655441201
2,waves_1,2,112,0.9245533398908666,0.006027734417133429,0.9954691147273638,1.0027356217623582
3,waves_1,3,1000000,0.9288394652525076,0.00014482977782092604,1.0001586795246324,1.0000011479937554
4,waves_1,4,1000000,0.9176656032322231,0.00014172098506759397,1.000142988872446,1.0000009980044962
5,waves_1,5,1000000,0.8872722927309735,0.00022065394411408256,1.0002627255096657,1.0000013349265475
6,waves_1,6,1000000,0.9950449183253969,2.729599347536885e-05,1.0000063560644201,1.000000720751103
7,waves_1,7,1000000,0.9919231676576376,3.300284975820475e-05,1.0000101741681122,1.0000006814289504
8,waves_1,8,1000000,0.8960502319831223,0.00017298764536877566,1.0001808462198651,1.0000010382294866
9,waves_1,9,1000000,0.931916063857594,0.00013699576966677226,1.0001494542803244,1.0000011264928281
10,waves_2,0,479,0.9255661081187363,0.0008042263292624324,1.0005286524245809,1.0000976695160688
11,waves_2,1,30,0.11052406320756016,0.005827801144670757,1.0012266276436064,1.0005968016571412
12,waves_2,2,187,0.7006872302601439,0.006494442773195347,1.0012421772156956,1.000342175826679
13,waves_2,3,1000000,0.9974631886484463,1.2119535726375586e-05,1.0000000706595895,1.0000004196280667
14,waves_2,4,1000000,0.9386967901733807,0.00010315956642005911,1.0000392721582168,1.000000704347308
15,waves_2,5,143,0.4241811159621072,0.007965085949215404,1.0038763914817725,1.001119784748443
16,waves_2,6,161,0.6236981564580012,0.010644715753095993,1.00157303979466,1.0017574889272638
17,waves_2,7,1000000,0.9987546426915683,9.173554506225137e-06,0.9999995596626473,1.0000004595504535
18,waves_2,8,308,0.6518972841335552,0.007872233100582387,1.002999141997122,1.0007423560482558
19,waves_2,9,149,0.6607577125138491,0.006186511647413442,1.002022776318402,1.0006155823787342
20,f_waves_1,0,9690,0.9944700222727252,4.642376265995872e-05,1.0001115175341593,1.0000079814344602
21,f_waves_1,1,847,0.9214902451697935,0.0014018567529539817,1.0006743045556814,1.000114884211293
22,f_waves_1,2,498,0.9717989949806369,0.0004540744656396104,0.9995279822947407,1.0001565689565277
23,f_waves_1,3,16226,0.9963380167028916,2.8740303144803133e-05,1.0000665893832017,1.0000038348064606
24,f_waves_1,4,182,0.816158096519478,0.0012498878699291136,1.0011218031188642,1.0002345328858366
25,f_waves_1,5,150159,0.9998302892824171,3.3717815156916185e-07,1.0000064201310388,1.0000001427994094
26,f_waves_1,6,30,0.130704424888427,0.005460009959625211,1.0014803280986508,1.0007473156215263
27,f_waves_1,7,432,0.9638450499515774,0.0005289641642472977,0.999573422159176,1.0001736462666315
28,f_waves_1,8,432,0.912972159505386,0.0007301469752901874,1.0007541101156745,1.000126506133695
29,f_waves_1,9,2734,0.973103819946102,0.0003990053915596118,1.0002242289735817,1.0000243431434575
30,p-norm_inf,0,1000000,0.9873306558124397,5.262996108718768e-05,1.0000049160382938,1.0000007565752187
31,p-norm_inf,1,1000000,0.9913433431591999,2.5849912990358895e-05,1.0000038226073653,1.000000472756214
32,p-norm_inf,2,1000000,0.9995817830342443,1.6316957472696224e-06,0.9999995121312625,1.0000001387678652
33,p-norm_inf,3,1000000,0.9858556561658318,5.8684398907907706e-05,1.0000101449200565,1.0000009384397115
34,p-norm_inf,4,1000000,0.9934928327913068,2.324976891777601e-05,1.0000019259615571,1.0000004801642282
35,p-norm_inf,5,1000000,0.9995876679663109,1.1397684127333303e-06,0.9999995164686291,1.0000000969527483
36,p-norm_inf,6,1000000,0.9973629130223782,1.1813701645365335e-05,1.0000001220011088,1.000000415443964
37,p-norm_inf,7,1000000,0.9777576444170561,9.067210415690907e-05,1.0000126685069843,1.0000011031257081
38,p-norm_inf,8,1000000,0.9996321137290586,1.0583043544732015e-06,0.9999995025003398,1.000000096944931
39,p-norm_inf,9,1000000,0.9983490468619475,8.190234122292626e-06,0.9999997774141017,1.0000003551439425
40,p-norm_2,0,1000000,0.9834568255029649,6.954273226727358e-05,1.0000068363383563,1.0000010712750766
41,p-norm_2,1,1000000,0.9983735900234294,5.359731692918951e-06,0.9999996702555505,1.0000002397879018
42,p-norm_2,2,1000000,0.9790730335329613,7.857220618532202e-05,1.0000087585328061,1.000001021461783
43,p-norm_2,3,1000000,0.9808069123305165,5.6137171082289084e-05,1.000006744492976,1.000000709996463
44,p-norm_2,4,1000000,0.9754304244263345,7.371101949666893e-05,1.0000109748167725,1.000000867458684
45,p-norm_2,5,1000000,0.9837082174278,5.829510438001746e-05,1.0000052413741092,1.000000815025337
46,p-norm_2,6,1000000,0.9498352857696584,0.0001470752049905372,1.000027018563237,1.0000012268521066
47,p-norm_2,7,1000000,0.9992834588272616,2.4372950773111577e-06,0.9999994791878017,1.000000165222778
48,p-norm_2,8,1000000,0.9984597812041864,5.011426281293925e-06,0.9999996807882134,1.0000002020066685
49,p-norm_2,9,1000000,0.9954119798666238,2.0673409119148597e-05,1.0000008553774504,1.0000005469455444
50,f_waves_inf,0,1185,0.8976568862426306,0.001634221791369288,1.0011419842106248,1.000124997949222
51,f_waves_inf,1,18092,0.9977852974048015,1.2234701373477075e-05,1.0000574420471753,1.000003132452376
52,f_waves_inf,2,267732,0.99992054967539,1.0621318827357673e-07,1.0000030646994809,1.0000000526080455
53,f_waves_inf,3,3050,0.976285177654142,0.0003354619290991843,1.0002179051496896,1.0000228870578145
54,f_waves_inf,4,15,0.08247465863636812,0.0008004231074601496,1.0004084017688528,1.0002024221031942
55,f_waves_inf,5,5110,0.9895998880644677,0.00010154641269011437,1.0001925266678322,1.0000175214262226
56,f_waves_inf,6,365,0.8223518585514078,0.003865500884013892,1.000898473581691,1.0001985383191199
57,f_waves_inf,7,2072,0.9783830854112464,0.00023227007486206633,1.0003563707287524,1.0000418757269731
58,f_waves_inf,8,684,0.8996166353974174,0.0019577604474784937,1.0007002812504704,1.0001270686015602
59,f_waves_inf,9,20275,0.9977602165558428,1.3606969714133656e-05,1.0000563684755288,1.000003004749595
60,f_waves_2,0,21914,0.9980943573868063,1.0434501759753613e-05,1.0000497024714492,1.000002525750173
61,f_waves_2,1,748,0.9729412904456884,0.0001379936360034664,0.9999827977550092,1.0000392115768195
62,f_waves_2,2,1000000,1.0000015489093672,2.475186305778575e-09,0.9999952207790797,1.000000003960573
63,f_waves_2,3,669,0.9034375617284068,0.0017707036631151864,1.000848888248315,1.000158693702142
64,f_waves_2,4,1010,0.9287384886984166,0.0013427788432498664,1.0004530479131872,1.0000701682147812
65,f_waves_2,5,546,0.9788071998536606,0.0004293056358524193,0.9994174329019345,1.0001572585648388
66,f_waves_2,6,703,0.9565070823894295,0.0001851705030395586,1.000362472984361,1.0000410873856003
67,f_waves_2,7,11183,0.9944342035985592,4.9894731235857313e-05,1.0000913905152338,1.0000060807184672
68,f_waves_2,8,1896,0.9610143018410512,0.0006601695883942657,1.0002313464760975,1.0000277617538962
69,f_waves_2,9,217,0.9373908305997625,0.0017137830832265385,0.9987707950017573,1.0006022539258437
70,quadratic,0,15,0.5742465054067688,0.08952402218226524,0.9828006961166821,1.0496285947927062
71,quadratic,1,402,0.9004097543306374,0.0018076478045422242,1.0023236646926494,1.0006803039239853
72,quadratic,2,86,0.4846569600961114,0.008470689435149111,1.0045079275772497,1.0018181829875346
73,quadratic,3,12,0.6826164324536707,0.11535454185310637,0.9731120886210487,1.067883765437189
74,quadratic,4,1634,0.9784480499777041,0.0003043340575153269,1.0007591245622915,1.000147028520006
75,quadratic,5,19476,0.9985724277155951,9.771892561910309e-06,1.0000812384732605,1.0000064309916177
76,quadratic,6,13,0.4920252097515545,0.08725919114072381,0.9930906460517511,1.0189965065499986
77,quadratic,7,19,0.31310016157025866,0.01387351574871086,0.9988370981370251,1.0020703689584727
78,quadratic,8,925,0.9349337505239445,0.0011074295280796252,1.0009412450714945,1.0001711482631455
79,quadratic,9,17,0.4667387716067786,0.07134272277067477,0.9882483037022621,1.033614607042451
80,relu,0,13,1.0409025377476093,0.01590460104406299,0.8220750786015932,1.018651120573502
81,relu,1,17,1.0354581036250692,0.011699758028192214,0.8495769578905767,1.0145832341181362
82,relu,2,31,1.0257802209564049,0.005793490154952367,0.8968206816124349,1.0082351057798187
83,relu,3,28,1.0272293515793323,0.006535394733657786,0.8900034571363371,1.0090898530426318
84,relu,4,31,1.0257802209564049,0.005793490154952368,0.8968206816124349,1.0082351057798187
85,relu,5,19,1.0334386117421448,0.01028839929152641,0.8597026136083731,1.0131469442084435
86,relu,6,23,1.0302323508224538,0.008235927725963727,0.8755432627690802,1.010977138305529
87,relu,7,14,1.039306736297688,0.01461738177467598,0.8301356079753932,1.0174354982249543
88,relu,8,14,1.039306736297688,0.01461738177467598,0.8301356079753932,1.0174354982249543
89,relu,9,21,1.0317204426499667,0.009158848060258927,0.8682348142863533,1.0119658548269128
90,waves_inf,0,134,0.7147794105117031,0.010495382380146353,0.9997998370543343,1.0022776659237886
91,waves_inf,1,133,0.7139395190165003,0.0033698260065941382,1.0016486549405175,1.000459332895858
92,waves_inf,2,1000000,0.9548730122025136,0.00012431886064751425,1.0000461466141062,1.0000011311236845
93,waves_inf,3,119,0.6533607299812342,0.0061644595535375055,1.001251379285968,1.0003885869449378
94,waves_inf,4,1000000,0.9986361700524606,1.0558692027980167e-05,0.9999998825971601,1.0000005510069603
95,waves_inf,5,1000000,0.952947997930026,0.00011912803030867137,1.0000468316827993,1.0000009886497778
96,waves_inf,6,873,0.9725569888646279,7.255349635230651e-05,1.000146246113152,1.0000161043938671
97,waves_inf,7,206,0.7446193785459456,0.0059756617235021455,1.0006828708329902,1.0001721081149926
98,waves_inf,8,343,0.9634449063920546,0.0006345311522488794,0.9994766823085867,1.0001697383230415
99,waves_inf,9,92,0.653209249962503,0.004197201186227938,1.0010772045989504,1.000779344276377
100,p-norm_1,0,1000000,0.9918143215348832,2.061290224327327e-05,1.0000022035691163,1.000000409477429
101,p-norm_1,1,1000000,0.9739212814842191,7.993584493635084e-05,1.0000108959845189,1.00000088000278
102,p-norm_1,2,1000000,0.9957698495901328,6.094177090447347e-06,1.0000005436387547,1.0000001607930638
103,p-norm_1,3,1000000,0.9993578711908281,1.8128951411391596e-06,0.9999995779288156,1.0000001237105838
104,p-norm_1,4,1000000,0.9059488004457996,0.00024128119197604342,1.0000696449474091,1.0000015112875806
105,p-norm_1,5,280164,0.999991813412188,2.875571383980617e-08,0.999997310063071,1.0000000278216075
106,p-norm_1,6,1000000,0.98466427525087,2.1258054088674937e-05,1.000005473157732,1.0000002996980524
107,p-norm_1,7,1000000,0.9972754570520728,7.053492270246633e-06,1.0000000355519323,1.000000235603449
108,p-norm_1,8,1000000,0.987334446416124,4.101906359351966e-05,1.00000502080312,1.000000696248933
109,p-norm_1,9,1000000,0.9919631846890964,1.4303838290310122e-05,1.0000021116915077,1.0000002868280466
